Sexe,age,Emploi,Telephone,statut_personnel,mois_pret_duree,historique de credit,but,Prix ( TND),personnes a charge,solde_d'epargne,duree_emploi,taux de versement ( par mois ) ,autres_debiteurs,Historique residence,propriete,logement,credits_existants,Score
Homme,44,resident non qualifie,29495236,Celibataire,18,retarde,reparations,12408,2,900,1 ans,2,rien,14 ans,immobilier,propre,1,0
Homme,24,employe qualifie,26622364,marie,30,critique,voiture (occasion),12374,1,1180,7 ans,1,rien,16 ans,autre,louer,2,0
Femme,58,resident non qualifie,27869196,,48,critique,voiture (occasion),12286,1,120,14 ans,4,rien,21 ans,inconnu/aucun,gratuitement,2,1
Femme,35,independant de gestion,23748365,,11,critique,voiture (neuve),2786,1,750,1 mois,4,rien,5 annees,autre,propre,2,0
Homme,39,employe qualifie,22398444,Celibataire,36,rembourse,Electronique,4598,1,8800,17 ans,4,rien,8 annees,autre,propre,1,0
Femme,23,chomeur non resident,27331634,,6,rembourse,voiture (occasion),2704,1,8790,,1,rien,6 mois,l'epargne de la societe de construction,louer,1,0
Homme,39,resident non qualifie,25450150,Celibataire,11,critique,voiture (neuve),14456,1,990,1 ans,1,rien,8 annees,l'epargne de la societe de construction,propre,2,0
Femme,28,employe qualifie,24947671,,12,rembourse,Electronique,4146,1,3080,3 annees,4,codemandeur,0 mois,immobilier,propre,1,0
Homme,29,resident non qualifie,26342147,Celibataire,24,retarde,meubles,4666,1,0,3 mois,4,rien,9 mois,l'epargne de la societe de construction,propre,1,0
Homme,30,independant de gestion,26366961,Celibataire,27,retarde,voiture (occasion),11930,1,780,18 ans,1,rien,2 mois,autre,propre,2,0
Homme,25,employe qualifie,24282097,Celibataire,12,rembourse,Electronique,2524,1,500,3 annees,3,rien,10 mois,autre,propre,1,0
Homme,31,employe qualifie,24437024,Celibataire,18,rembourse,voiture (occasion),6756,1,0,2 annees,2,rien,,l'epargne de la societe de construction,propre,1,0
Homme,57,employe qualifie,24169250,Celibataire,36,retarde,voiture (neuve),4450,1,310,13 ans,4,rien,24 ans,inconnu/aucun,gratuitement,2,1
Homme,26,resident non qualifie,21306972,Celibataire,6,entierement rembourse cette banque,voiture (neuve),1566,2,0,3 annees,1,garant,9 mois,immobilier,propre,1,0
Homme,52,independant de gestion,23623901,Celibataire,12,rembourse,Electronique,1293,1,0,,2,rien,,inconnu/aucun,propre,1,1
Femme,31,employe qualifie,27565667,,36,critique,Electronique,1913,1,810,1 ans,2,rien,8 mois,autre,propre,2,0
Femme,23,independant de gestion,25302781,,18,rembourse,voiture (neuve),3922,1,350,13 ans,3,rien,7 mois,autre,propre,1,0
Femme,23,resident non qualifie,24040798,,36,critique,meubles,12458,1,300,1 mois,4,codemandeur,15 ans,inconnu/aucun,louer,2,1
Homme,27,employe qualifie,28757018,marie,9,rembourse,Entreprise,2782,1,370,2 annees,2,rien,,immobilier,propre,1,0
Homme,50,employe qualifie,22195783,Celibataire,15,critique,Electronique,3074,1,0,18 ans,4,garant,11 ans,immobilier,propre,2,0
Homme,61,independant de gestion,23591217,Celibataire,36,entierement rembourse,Entreprise,3906,1,730,18 ans,4,rien,5 annees,inconnu/aucun,gratuitement,1,1
Homme,25,employe qualifie,29753146,Celibataire,48,entierement rembourse,Entreprise,28842,1,820,2 annees,2,rien,0 mois,autre,propre,1,1
Femme,26,employe qualifie,26085372,,24,rembourse,Electronique,6362,1,160,4 mois,4,rien,18 ans,l'epargne de la societe de construction,propre,1,0
Homme,48,employe qualifie,28772378,Celibataire,27,rembourse,reparations,10380,2,0,17 ans,4,rien,19 annees,l'epargne de la societe de construction,propre,4,0
Femme,29,employe qualifie,26196093,,12,rembourse,Electronique,4342,1,820,3 mois,2,rien,8 mois,autre,propre,1,0
Homme,22,employe qualifie,24434020,marie,12,rembourse,voiture (neuve),2014,1,48650,3 annees,4,rien,,immobilier,propre,1,0
Homme,37,employe qualifie,23979202,Celibataire,36,rembourse,education,3638,1,890,1 ans,4,rien,22 ans,inconnu/aucun,gratuitement,1,1
Femme,25,employe qualifie,26385924,,36,rembourse,Electronique,4788,1,0,2 annees,4,rien,13 ans,autre,propre,1,0
Femme,30,employe qualifie,24273490,,36,rembourse,voiture (occasion),16266,1,540,3 annees,1,rien,3 mois,l'epargne de la societe de construction,propre,1,0
Homme,46,resident non qualifie,27079819,Celibataire,7,critique,Electronique,1460,1,0,9 annees,4,rien,6 mois,l'epargne de la societe de construction,louer,2,0
Homme,40,independant de gestion,24595215,Celibataire,36,rembourse,education,3954,1,0,7 ans,4,rien,23 annees,inconnu/aucun,propre,1,1
Homme,66,independant de gestion,29501863,Celibataire,12,critique,voiture (occasion),3052,1,70,16 ans,4,rien,20 ans,inconnu/aucun,gratuitement,2,0
Homme,34,employe qualifie,26240164,Celibataire,42,rembourse,Electronique,7930,1,380,10 mois,4,rien,3 annees,autre,propre,1,1
Homme,22,employe qualifie,21982766,marie,30,rembourse,meubles,7664,1,380,7 mois,2,rien,,l'epargne de la societe de construction,propre,1,0
Homme,47,employe qualifie,23743369,Celibataire,15,rembourse,Electronique,2426,1,7010,19 annees,4,rien,3 annees,l'epargne de la societe de construction,propre,1,0
Femme,58,resident non qualifie,27879966,,24,rembourse,autres,3510,1,290,14 ans,4,garant,18 ans,immobilier,propre,1,0
Homme,52,resident non qualifie,26782333,Celibataire,10,rembourse,Electronique,4630,1,770,15 ans,3,rien,13 ans,immobilier,propre,1,0
Femme,29,independant de gestion,27939281,,12,critique,Entreprise,2824,1,930,1 ans,4,garant,0 mois,immobilier,propre,2,0
Homme,30,independant de gestion,28521556,Celibataire,18,rembourse,voiture (neuve),4498,2,3260,4 annees,4,rien,2 annees,autre,propre,1,0
Homme,28,employe qualifie,24100212,Celibataire,12,entierement rembourse,reparations,2216,1,550,6 ans,4,rien,1 ans,immobilier,propre,2,1
Homme,56,employe qualifie,26519026,Celibataire,12,critique,Electronique,1236,1,350,8 annees,4,rien,13 ans,immobilier,propre,1,0
Homme,54,employe qualifie,23436240,Celibataire,12,critique,voiture (occasion),2818,1,110,19 annees,4,rien,2 annees,immobilier,propre,1,0
Homme,20,employe qualifie,27544350,Celibataire,24,critique,meubles,7234,1,0,19 annees,4,codemandeur,20 ans,inconnu/aucun,louer,2,0
Homme,54,employe qualifie,21509507,Celibataire,12,rembourse,voiture (neuve),2636,1,18360,12 ans,4,rien,20 ans,immobilier,propre,1,0
Femme,61,employe qualifie,23343388,,12,critique,education,4024,1,0,7 ans,4,rien,2 mois,autre,propre,1,0
Homme,34,employe qualifie,29559525,Celibataire,18,rembourse,Entreprise,5244,1,1200,2 annees,4,rien,10 annees,autre,propre,1,0
Homme,36,independant de gestion,28805381,Celibataire,20,retarde,voiture (occasion),14114,2,0,7 ans,3,rien,20 ans,l'epargne de la societe de construction,louer,2,0
Homme,41,resident non qualifie,26654184,marie,24,rembourse,voiture (neuve),2938,1,3550,12 ans,4,rien,23 annees,immobilier,louer,1,0
Homme,24,employe qualifie,29066310,Celibataire,36,rembourse,Electronique,4646,1,440,5 annees,4,rien,23 annees,autre,louer,1,0
Femme,24,employe qualifie,23259981,,6,retarde,Electronique,1864,1,840,2 annees,3,rien,4 mois,immobilier,propre,1,0
Homme,35,employe qualifie,25415143,Celibataire,9,critique,meubles,3838,1,600,5 annees,4,rien,3 annees,autre,louer,1,0
Homme,26,employe qualifie,27989730,marie,12,rembourse,voiture (occasion),4890,1,0,3 mois,2,rien,5 annees,autre,louer,1,0
Homme,39,independant de gestion,29405148,Celibataire,18,entierement rembourse cette banque,voiture (neuve),12916,2,510,13 ans,2,rien,24 ans,inconnu/aucun,propre,2,1
Homme,32,employe qualifie,21531137,Celibataire,12,rembourse,voiture (neuve),12156,1,660,6 ans,2,rien,8 mois,autre,propre,1,0
Femme,30,employe qualifie,20975375,,24,rembourse,meubles,15442,1,0,2 mois,1,rien,11 mois,l'epargne de la societe de construction,propre,1,0
Homme,35,employe qualifie,21195900,marie,14,rembourse,Entreprise,2820,1,9990,14 ans,1,rien,5 mois,immobilier,propre,1,0
Homme,35,employe qualifie,29025026,marie,12,rembourse,Electronique,3360,1,8410,12 ans,3,rien,,immobilier,propre,1,0
Homme,47,employe qualifie,24089315,Celibataire,48,critique,Electronique,7156,1,0,11 ans,4,rien,,immobilier,propre,1,0
Femme,27,employe qualifie,25605086,,10,critique,meubles,4264,1,0,7 mois,2,codemandeur,2 annees,immobilier,louer,2,0
Femme,23,employe qualifie,23357824,,33,critique,meubles,8562,1,6700,1 ans,1,rien,12 ans,autre,propre,2,1
Homme,36,independant de gestion,27402074,divorce,12,critique,voiture (neuve),4732,1,5120,7 ans,3,rien,4 annees,autre,propre,1,0
Femme,41,independant de gestion,22316179,,24,critique,voiture (occasion),7736,1,380,19 annees,4,rien,9 mois,autre,louer,2,0
Homme,24,resident non qualifie,25234323,Celibataire,12,rembourse,meubles,3536,1,580,3 annees,3,rien,9 mois,immobilier,louer,1,0
Homme,63,employe qualifie,26743220,Celibataire,10,critique,voiture (neuve),1562,1,560,19 annees,4,rien,18 ans,inconnu/aucun,gratuitement,2,0
Femme,27,employe qualifie,23093064,,18,rembourse,meubles,3848,1,0,0 mois,4,rien,2 annees,immobilier,louer,1,1
Homme,30,employe qualifie,22059409,Celibataire,12,critique,voiture (neuve),4242,1,490,1 ans,4,rien,3 mois,l'epargne de la societe de construction,propre,2,0
Homme,40,resident non qualifie,28406146,marie,12,rembourse,Electronique,1402,1,160,1 ans,4,rien,8 mois,immobilier,propre,1,0
Homme,30,employe qualifie,21987838,Celibataire,12,rembourse,reparations,1278,1,260,3 annees,4,rien,6 mois,autre,propre,1,1
Homme,34,independant de gestion,23670912,Celibataire,12,critique,voiture (occasion),3720,1,540,,4,rien,1 mois,autre,propre,2,0
Femme,29,employe qualifie,27149694,,12,critique,voiture (neuve),6998,1,190,3 annees,3,codemandeur,2 mois,immobilier,propre,2,1
Homme,27,resident non qualifie,23434004,Celibataire,15,rembourse,meubles,5416,1,940,3 mois,2,rien,2 annees,l'epargne de la societe de construction,propre,2,0
Homme,47,employe qualifie,29450852,Celibataire,18,rembourse,meubles,3968,1,310,1 ans,4,rien,14 ans,inconnu/aucun,gratuitement,2,0
Femme,21,employe qualifie,27144885,,60,rembourse,Electronique,20288,1,4450,4 annees,2,rien,11 ans,immobilier,propre,1,0
Femme,38,employe qualifie,22549052,,12,critique,Electronique,2480,1,0,16 ans,4,rien,6 mois,immobilier,propre,2,0
Homme,27,employe qualifie,26779208,Celibataire,27,retarde,voiture (occasion),17226,1,180770,1 ans,2,rien,1 mois,autre,propre,2,0
Homme,66,resident non qualifie,20959740,Celibataire,12,rembourse,Electronique,1532,1,9090,1 ans,4,rien,2 annees,immobilier,propre,1,1
Homme,27,chomeur non resident,23852172,marie,6,rembourse,voiture (neuve),1418,1,120480,6 mois,2,rien,5 mois,immobilier,propre,1,0
Femme,30,independant de gestion,24701670,,36,rembourse,Electronique,9590,1,510,9 mois,4,rien,,inconnu/aucun,propre,1,0
Homme,27,independant de gestion,24254169,Celibataire,27,rembourse,Electronique,6832,1,350,3 annees,3,rien,8 mois,autre,propre,1,0
Homme,22,employe qualifie,20690070,Celibataire,18,rembourse,meubles,4924,1,180,2 annees,2,rien,4 mois,autre,propre,1,1
Femme,23,employe qualifie,25567494,,21,critique,meubles,4576,1,20,6 mois,4,rien,21 ans,l'epargne de la societe de construction,propre,1,0
Homme,30,employe qualifie,23187649,Celibataire,48,entierement rembourse cette banque,Entreprise,7132,1,4160,7 ans,4,rien,0 mois,autre,propre,1,0
Femme,39,employe qualifie,23944310,,6,critique,voiture (neuve),1720,1,800,14 ans,1,rien,18 ans,inconnu/aucun,propre,2,0
Homme,46,employe qualifie,21630699,Celibataire,18,critique,Electronique,3164,1,26570,13 ans,4,rien,11 ans,autre,propre,2,0
Homme,42,employe qualifie,23698937,Celibataire,6,rembourse,Electronique,2692,2,3850,16 ans,2,rien,17 ans,inconnu/aucun,gratuitement,1,0
Homme,38,employe qualifie,27061068,Celibataire,10,rembourse,Electronique,3848,1,50,2 annees,1,rien,22 ans,l'epargne de la societe de construction,propre,1,0
Femme,29,employe qualifie,24835669,,24,critique,voiture (occasion),15516,1,123000,18 ans,2,rien,7 ans,inconnu/aucun,louer,1,0
Femme,20,employe qualifie,22709513,,12,rembourse,meubles,2564,1,660,2 annees,2,rien,20 ans,autre,louer,1,1
Homme,48,employe qualifie,22713792,Celibataire,9,critique,reparations,2576,2,3140,11 ans,3,garant,24 ans,immobilier,propre,2,0
Homme,36,employe qualifie,27549199,Celibataire,24,critique,Electronique,5744,2,2810,15 ans,3,rien,18 ans,immobilier,propre,1,0
Femme,30,employe qualifie,22606462,,18,critique,voiture (neuve),2110,1,150,2 mois,4,rien,,l'epargne de la societe de construction,propre,2,0
Homme,36,employe qualifie,29178405,Celibataire,15,rembourse,appareils electromenagers,2524,1,6860,4 annees,4,rien,2 annees,l'epargne de la societe de construction,propre,2,0
Homme,70,independant de gestion,28707745,Celibataire,10,rembourse,voiture (neuve),14616,1,300,,2,rien,24 ans,inconnu/aucun,gratuitement,1,0
Homme,32,employe qualifie,29308674,Celibataire,6,rembourse,meubles,5956,1,9580,2 annees,1,rien,8 mois,autre,propre,1,0
Femme,20,employe qualifie,28229539,,11,rembourse,meubles,3154,1,198350,9 mois,4,rien,,immobilier,propre,1,0
Femme,25,employe qualifie,22096781,,24,rembourse,meubles,7944,1,510,4 annees,2,rien,16 ans,l'epargne de la societe de construction,louer,1,0
Homme,31,employe qualifie,26494537,divorce,24,critique,Entreprise,3870,1,900,19 annees,4,rien,15 ans,immobilier,propre,2,1
Homme,33,employe qualifie,29059970,Celibataire,15,entierement rembourse,voiture (neuve),1900,2,380,7 ans,4,rien,4 annees,autre,louer,2,1
Femme,26,employe qualifie,22198164,,12,rembourse,meubles,1526,1,890,3 annees,4,rien,,immobilier,propre,1,0
Femme,34,independant de gestion,29264716,,24,retarde,meubles,4128,1,280,,3,rien,11 mois,l'epargne de la societe de construction,propre,1,1
Homme,33,employe qualifie,22726019,Celibataire,8,rembourse,Electronique,2828,1,880,3 annees,4,garant,3 mois,immobilier,propre,1,0
Femme,53,independant de gestion,26081752,,30,entierement rembourse cette banque,voiture (occasion),14970,1,0,,4,rien,,immobilier,propre,1,1
Homme,42,employe qualifie,24893002,divorce,12,rembourse,meubles,5154,1,140,2 annees,2,rien,,autre,propre,1,0
Homme,52,employe qualifie,24317624,Celibataire,6,critique,Electronique,676,1,8380,19 annees,4,rien,14 ans,autre,propre,2,0
Homme,31,independant de gestion,21458439,Celibataire,12,rembourse,Electronique,3926,2,900,4 annees,4,rien,2 mois,autre,louer,2,0
Homme,65,employe qualifie,24758283,Celibataire,21,critique,voiture (neuve),1142,1,590,9 annees,4,rien,10 annees,immobilier,propre,2,0
Homme,28,employe qualifie,24787766,divorce,36,retarde,Entreprise,19144,1,50,9 mois,1,rien,,autre,propre,2,1
Homme,30,independant de gestion,27348615,divorce,36,retarde,Entreprise,8910,1,300,1 ans,2,rien,10 mois,immobilier,propre,2,1
Homme,40,resident non qualifie,24493464,Celibataire,21,entierement rembourse cette banque,voiture (neuve),3294,2,0,1 ans,4,rien,3 mois,l'epargne de la societe de construction,propre,2,1
Homme,36,employe qualifie,28995047,Celibataire,18,critique,voiture (neuve),1768,2,130,7 ans,4,rien,10 annees,autre,propre,1,1
Homme,31,employe qualifie,26334864,Celibataire,15,critique,Electronique,2720,1,240,1 ans,4,rien,2 mois,l'epargne de la societe de construction,propre,2,0
Homme,68,chomeur non resident,23882993,Celibataire,16,critique,voiture (neuve),2350,1,830,,2,rien,2 annees,autre,gratuitement,3,0
Homme,20,employe qualifie,25624935,marie,12,rembourse,Electronique,1348,1,3110,5 annees,4,rien,,l'epargne de la societe de construction,propre,1,1
Homme,54,independant de gestion,25062007,Celibataire,24,rembourse,Entreprise,9182,1,184840,1 ans,2,rien,3 annees,l'epargne de la societe de construction,propre,3,1
Homme,34,resident non qualifie,28401726,Celibataire,48,entierement rembourse,Entreprise,7688,2,2890,4 annees,4,rien,10 annees,inconnu/aucun,gratuitement,1,1
Homme,36,employe qualifie,22665161,Celibataire,27,rembourse,Entreprise,7830,2,180,1 ans,4,rien,8 mois,autre,propre,1,1
Homme,29,employe qualifie,27253348,marie,6,rembourse,Electronique,4216,1,420,7 ans,2,rien,0 mois,immobilier,louer,1,0
Homme,21,employe qualifie,22012058,Celibataire,45,rembourse,Electronique,6062,1,3310,2 annees,4,garant,11 ans,l'epargne de la societe de construction,louer,1,1
Femme,34,independant de gestion,28749227,,9,critique,education,3002,1,780,18 ans,2,rien,2 annees,autre,propre,2,1
Femme,28,employe qualifie,25209008,,6,critique,Electronique,2764,1,160,2 annees,1,rien,,autre,propre,2,0
Femme,27,employe qualifie,21311791,,12,rembourse,meubles,1902,1,4160,7 mois,4,rien,11 ans,autre,louer,4,1
Homme,36,employe qualifie,22132406,Celibataire,24,rembourse,voiture (occasion),5520,1,0,16 ans,4,rien,11 ans,inconnu/aucun,gratuitement,1,0
Homme,40,independant de gestion,23141307,divorce,18,retarde,meubles,8594,1,640,19 annees,4,rien,1 ans,inconnu/aucun,propre,1,1
Homme,27,resident non qualifie,24195938,marie,12,rembourse,voiture (neuve),2336,1,660,3 annees,4,rien,2 annees,immobilier,propre,1,0
Homme,26,employe qualifie,22671663,Celibataire,27,retarde,Entreprise,10234,1,330,4 annees,3,rien,13 ans,autre,propre,2,0
Homme,38,resident non qualifie,27688762,Celibataire,12,critique,voiture (neuve),2990,2,130,18 ans,4,rien,,immobilier,propre,2,0
Homme,38,independant de gestion,28444324,Celibataire,30,critique,voiture (occasion),21246,2,260,11 ans,3,rien,5 annees,inconnu/aucun,gratuitement,3,0
Homme,55,employe qualifie,23562272,Celibataire,12,rembourse,voiture (occasion),2826,1,97080,5 annees,3,rien,2 mois,l'epargne de la societe de construction,propre,1,0
Homme,33,employe qualifie,21363394,Celibataire,9,critique,Electronique,6148,2,0,3 annees,1,rien,7 mois,immobilier,propre,2,0
Femme,45,resident non qualifie,23532259,,36,rembourse,Electronique,7670,1,0,18 ans,2,rien,9 annees,immobilier,propre,1,0
Homme,66,independant de gestion,26745899,Celibataire,30,retarde,Entreprise,3816,1,410,8 annees,4,rien,18 ans,immobilier,propre,1,1
Femme,39,resident non qualifie,27626592,,6,critique,reconversion,1864,1,0,5 annees,1,rien,1 ans,l'epargne de la societe de construction,propre,2,0
Homme,31,employe qualifie,27406329,Celibataire,18,entierement rembourse,Entreprise,6208,1,810,7 ans,3,rien,,l'epargne de la societe de construction,propre,1,0
Homme,23,employe qualifie,25508728,Celibataire,36,rembourse,Electronique,7826,1,710,1 ans,2,rien,10 mois,immobilier,propre,1,0
Femme,64,employe qualifie,22911636,,10,rembourse,voiture (neuve),2728,1,530,3 annees,2,rien,6 ans,autre,propre,1,0
Femme,23,employe qualifie,24037171,,12,rembourse,education,2400,1,0,3 annees,4,rien,14 ans,l'epargne de la societe de construction,louer,1,0
Homme,30,employe qualifie,28235529,Celibataire,12,rembourse,Electronique,1414,1,150,2 annees,4,rien,1 mois,immobilier,propre,2,0
Homme,32,employe qualifie,20404116,Celibataire,24,retarde,Entreprise,5956,2,0,2 annees,4,rien,16 ans,immobilier,propre,2,0
Homme,30,employe qualifie,22616907,Celibataire,15,rembourse,voiture (occasion),9314,1,120,1 ans,3,rien,4 mois,autre,propre,1,0
Homme,27,employe qualifie,20674500,Celibataire,48,rembourse,Electronique,21922,1,28390,5 annees,1,codemandeur,4 mois,inconnu/aucun,propre,2,1
Homme,53,independant de gestion,26351293,Celibataire,12,rembourse,meubles,15730,1,510,16 ans,4,rien,21 ans,inconnu/aucun,gratuitement,1,1
Homme,22,employe qualifie,24327759,Celibataire,9,rembourse,Electronique,2956,1,780,7 ans,4,rien,11 mois,autre,propre,1,1
Homme,26,employe qualifie,27651912,Celibataire,36,rembourse,Electronique,8420,1,260,3 annees,4,rien,0 mois,autre,propre,1,1
Homme,51,resident non qualifie,29678975,Celibataire,9,rembourse,voiture (neuve),5014,1,8960,7 ans,2,rien,23 annees,inconnu/aucun,gratuitement,1,0
Homme,35,employe qualifie,24167779,Celibataire,12,rembourse,Electronique,4282,1,4060,6 ans,3,rien,,inconnu/aucun,propre,1,0
Homme,42,resident non qualifie,23166712,Celibataire,4,critique,Electronique,3088,2,990,5 annees,2,rien,,immobilier,propre,3,0
Homme,30,independant de gestion,22662307,Celibataire,24,rembourse,Electronique,3646,2,540,,4,rien,10 mois,autre,propre,1,1
Homme,61,resident non qualifie,20749188,divorce,21,rembourse,Entreprise,5534,1,4130,11 ans,4,rien,6 mois,autre,louer,2,1
Femme,35,employe qualifie,28686590,,12,critique,Electronique,2582,1,900,3 annees,4,rien,0 mois,l'epargne de la societe de construction,propre,2,0
Homme,39,employe qualifie,27891845,Celibataire,30,rembourse,Electronique,5044,2,940,8 annees,1,garant,1 ans,l'epargne de la societe de construction,propre,1,0
Femme,29,employe qualifie,29648157,,24,rembourse,voiture (neuve),1830,1,0,17 ans,4,rien,11 mois,autre,propre,1,1
Homme,51,employe qualifie,22445840,Celibataire,6,rembourse,Electronique,3190,2,250,6 ans,3,rien,8 mois,l'epargne de la societe de construction,propre,1,0
Femme,27,employe qualifie,22205848,,12,critique,Entreprise,2370,1,650,2 annees,3,rien,2 mois,immobilier,propre,2,0
Homme,25,employe qualifie,20522666,Celibataire,24,rembourse,Entreprise,2516,1,80,4 annees,4,rien,,immobilier,propre,1,0
Homme,52,employe qualifie,26157251,Celibataire,12,critique,Electronique,1434,1,80,10 annees,4,rien,9 annees,immobilier,propre,3,0
Homme,35,employe qualifie,24017134,Celibataire,6,entierement rembourse,voiture (neuve),2408,1,4920,2 annees,4,rien,,inconnu/aucun,louer,1,0
Femme,22,employe qualifie,26219244,,18,rembourse,Electronique,866,1,700,,3,codemandeur,10 annees,immobilier,louer,1,1
Femme,39,resident non qualifie,29076378,,6,critique,voiture (neuve),1332,1,80630,5 annees,3,rien,8 annees,immobilier,propre,2,0
Femme,24,employe qualifie,20954151,,30,rembourse,voiture (neuve),4300,1,210,1 ans,4,garant,0 mois,inconnu/aucun,propre,1,1
Homme,35,employe qualifie,27395759,Celibataire,24,retarde,meubles,8302,1,4720,2 annees,2,rien,4 annees,l'epargne de la societe de construction,propre,2,0
Homme,24,employe qualifie,23074250,Celibataire,9,rembourse,meubles,4060,1,0,6 ans,2,rien,,autre,propre,1,0
Homme,27,resident non qualifie,23430781,Celibataire,60,retarde,Electronique,14836,1,0,3 annees,1,rien,,immobilier,propre,1,0
Homme,35,resident non qualifie,28203471,Celibataire,24,critique,Electronique,5368,1,400,3 annees,4,rien,4 mois,immobilier,propre,2,0
Homme,29,employe qualifie,27768615,divorce,12,entierement rembourse cette banque,Electronique,4298,1,490,1 ans,4,rien,,inconnu/aucun,gratuitement,1,1
Femme,23,employe qualifie,28042697,,15,rembourse,voiture (occasion),7624,1,2760,6 mois,1,rien,10 annees,autre,propre,1,0
Femme,57,resident non qualifie,25790098,,11,critique,Electronique,2308,1,3180,,4,rien,15 ans,immobilier,propre,3,0
Homme,27,employe qualifie,26760951,Celibataire,12,rembourse,meubles,3314,1,400,3 annees,2,rien,1 mois,immobilier,propre,1,0
Homme,36,independant de gestion,22245154,Celibataire,18,critique,voiture (neuve),10604,1,930,7 ans,2,rien,18 ans,inconnu/aucun,gratuitement,3,0
